id,user_id,status,amount,date
00001,06314,success,37810,2022-02-06
00002,00723,success,73840,2022-05-25
00003,08655,success,130889,2020-11-05
00004,03443,failed,44070,2021-06-29
00005,04825,success,138400,2020-01-24
00006,02513,failed,125840,2022-03-15
00007,03673,success,119240,2021-04-03
00008,03386,success,0,2021-10-29
00009,07309,failed,12380,2021-11-11
00010,01811,success,55670,2022-03-25
00011,07568,success,36510,2022-03-15
00012,02055,failed,129740,2020-09-17
00013,03834,success,79120,2021-08-03
00014,05403,failed,49650,2022-01-11
00015,09793,success,0,2021-09-18
00016,06748,success,50680,2021-08-05
00017,07101,success,34210,2021-01-05
00018,00525,failed,83690,2020-07-18
00019,07792,success,67450,2019-09-13
00020,03933,success,159660,2021-06-18
00021,09638,failed,114930,2020-05-11
00022,02339,success,83970,2020-09-04
00023,01479,success,82510,2021-12-28
00024,05725,success,45260,2020-09-19
00025,00780,failed,43320,2021-11-12
00026,01957,success,51290,2020-08-13
00027,06745,failed,0,2022-02-13
00028,01376,failed,60700,2019-01-17
00029,00246,success,64099,2020-02-16
00030,07336,success,22770,2021-09-07
00031,02816,failed,38450,2021-06-02
00032,03039,success,91860,2021-03-08
00033,08745,failed,0,2019-04-21
00034,06990,failed,0,2021-02-08
00035,08890,success,32500,2021-09-30
00036,06408,failed,68150,2020-10-25
00037,01503,failed,74090,2020-11-12
00038,09467,failed,160490,2021-10-04
00039,03032,success,104120,2021-09-25
00040,07299,success,57930,2021-05-03
00041,07960,failed,149800,2021-11-14
00042,02415,success,146030,2022-03-22
00043,06551,failed,108490,2019-08-26
00044,00457,success,24270,2020-06-24
00045,06790,success,156730,2022-04-11
00046,03532,success,136770,2020-12-10
00047,00288,success,120380,2021-08-12
00048,06534,success,91680,2021-12-12
00049,01545,success,99000,2020-09-14
00050,09229,failed,88190,2021-09-15
00051,01989,success,24230,2021-03-10
00052,01142,failed,84930,2022-05-21
00053,00158,success,0,2021-02-16
00054,05193,success,66000,2020-10-03
00055,07753,failed,150710,2021-10-02
00056,00890,success,60690,2020-07-30
00057,09123,failed,60170,2020-02-22
00058,02783,success,0,2020-06-15
00059,02010,success,93320,2020-10-22
00060,02679,success,1740,2020-08-11
00061,07650,success,57210,2021-02-20
00062,07792,success,139310,2020-12-03
00063,06366,failed,103320,2022-01-28
00064,00066,failed,24310,2021-04-16
00065,04448,success,0,2021-11-22
00066,00396,success,23360,2020-12-20
00067,09034,success,121070,2021-05-20
00068,05412,success,148040,2019-03-06
00069,06559,success,117520,2020-12-17
00070,00233,failed,98750,2020-03-27
00071,07091,failed,167530,2021-05-15
00072,00303,success,70000,2020-07-13
00073,06344,success,0,2021-03-08
00074,08828,success,72310,2021-04-10
00075,07192,failed,16570,2019-08-10
00076,09751,success,40850,2019-10-27
00077,09053,failed,51340,2021-10-04
00078,06092,failed,38920,2021-07-24
00079,08758,success,64440,2020-09-20
00080,00607,success,22380,2021-09-24
00081,07914,success,35320,2022-05-06
00082,00920,success,112570,2020-09-01
00083,07725,failed,55630,2021-08-27
00084,07131,success,109150,2022-02-13
00085,05381,failed,85980,2022-04-27
00086,02261,success,102190,2021-01-09
00087,07831,success,63210,2021-08-03
00088,07521,success,73820,2021-02-10
00089,03479,failed,169760,2022-05-13
00090,03740,failed,62430,2019-04-10
00091,02631,failed,15350,2020-06-14
00092,05880,success,71220,2022-04-18
00093,03877,failed,0,2021-06-22
00094,03289,failed,107720,2022-05-23
00095,03013,success,88400,2019-09-14
00096,01440,failed,74990,2021-12-30
00097,02032,success,51550,2021-01-27
